,hs_name,hs_ceeb,ccd_name,ccd_nces,score
583,texas academy math & science,441954,,,
584,v sue cleveland high school,320534,CLEVELAND HIGH SCHOOL,350001001024,88.0
585,family acad of christian educ,061447,,,
586,idea college preparatory hs,442047,IDEA COLLEGE PREP,480021111282,77.0
587,heritage christian academy,445943,,,
588,fusion learning center,053869,,,
589,sunlake high school,102124,SUNLAKE HIGH SCHOOL,120153007331,100.0
590,colegio franklin d roosevelt,940240,,,
591,maharishi sch age enlightenmnt,161553,,,
592,oakleaf high school,102285,OAKLEAF HIGH SCHOOL,120030007558,100.0
593,washington latin pcs,090196,Washington Latin PCS - MS,110001900324,89.0
594,kipp univ prep high school,444798,,,
595,middlebridge school,400234,,,
596,severn school,210945,,,
597,saint joseph-notre dame hs,050020,,,
598,southland coll prep charter hs,143634,Southland College Prep Chtr HS,170140006135,90.0
599,harmony magnet academy,054414,Harmony Magnet Academy,060006412356,100.0
600,jalen rose leadership academy,230924,Jalen Rose Leadership Academy,260099308233,100.0
601,quest to learn,333894,QUEST TO LEARN,360007706125,100.0
602,ascension academy,440122,,,
603,sage international school,130091,,,
604,vicenza american school dod,577140,,,
605,cole high school dsst,060013,DSST: COLE HIGH SCHOOL,080336006636,74.0
606,hackett catholic central hs,232174,,,
607,summit international prep,440267,UPLIFT SUMMIT INTERNATIONAL PRI,480003012231,82.0
608,william and mary ghidotti high,051538,William & Marian Ghidotti High,062688011700,87.0
609,friends school,210090,,,
610,fusion academy - evanston,140376,,,
611,university preparatory academy,054245,University Preparatory Academy Charter,060223312016,88.0
612,heritage high school,050386,Heritage High,062160010755,79.0
613,westlake academy,447468,WESTLAKE ACADEMY,480025409511,100.0
614,valiant academy of southern ca,,Valiant Academy of Southern California,060222413816,88.0
615,acad arts & minds charter hs,101992,,,
616,westminster academy,431506,,,
617,brentwood academy,430163,,,
618,ponte vedra high school,102180,PONTE VEDRA HIGH SCHOOL,120174007246,100.0
619,colegio intnl de carabobo,950760,,,
620,lakeside school,481120,,,
621,honolulu waldorf school,120023,,,
622,information technology hs,332904,INFORMATION TECHNOLOGY HIGH SCHOOL,360010205511,85.0
623,kunsmiller creative arts acad,060611,KUNSMILLER CREATIVE ARTS ACADEMY,080336006442,95.0
624,palo alto preparatory school,051513,,,
625,lake minneola high school,102581,LAKE MINNEOLA HIGH SCHOOL,120105007689,100.0
626,killington mountain school,460213,,,
627,rocky mountain lutheran hs,061076,,,
628,dawson high school,445414,,,
629,east early col high school,443592,EAST EARLY COLLEGE H S,482364011262,75.0
630,powdersville high school,410913,Powdersville High,450078001567,83.0
631,chicago academy high school,140661,Chicago Academy High School,170993005061,100.0
632,dayton regional stem school,365157,Dayton Regional STEM School,390137405564,100.0
633,coral ac of science-las vegas,290216,Coral Academy of Science Las Vegas Sandy Ridge,320000100742,75.0
634,vista del lago high school,054166,Vista del Lago High,061389011932,84.0
635,oklahoma school of sci & math,372684,,,
636,halstrom high school-oceanside,052247,,,
637,park hill south,282803,PARK HILL SOUTH HIGH,292355002413,86.0
638,hale academy,102015,,,
639,graham-kapowsin high school,480442,Graham Kapowsin High School,530048003003,96.0
640,southmoore high school,372412,SOUTHMOORE HS,402025002395,74.0
641,freedom high school,472110,FREEDOM HIGH,510225002447,77.0
642,new tech high at coppell,441486,NEW TECH H S AT COPPELL,481521011781,89.0
643,harmony science acad-n austin,440101,HARMONY SCIENCE ACADEMY-PFLUGERVILLE,480024112260,71.0
644,chicago academy for arts,140627,Chicago HS for the Arts,170993006058,72.0
645,mercy high school,334752,,,
646,making waves academy,054553,Making Waves Academy,060150212043,100.0
647,tuscarora high school,471232,TUSCARORA HIGH,510225002817,80.0
648,pingry school,310315,,,
649,rock ridge high school,470140,ROCK RIDGE HIGH,510225002969,81.0
650,seminole ridge community hs,101994,SEMINOLE RIDGE COMMUNITY HIGH SCHOOL,120150003944,86.0
651,achieve k12,060348,,,
652,rudolf steiner school,333932,,,
653,brunswick school,070219,,,
654,westgate community school,061363,,,
655,spring studio for academic exc,060373,,,
656,first academy,101316,,,
657,salem academy,221869,,,
658,pine ridge high school,421025,Pine Ridge School,590008000117,87.0
659,brigham young univ indep hs,450312,,,
660,pope john paul the great cath,470720,,,
661,st john's nw military academy,500505,,,
662,elgin academy,141760,,,
663,crossroads school,262941,,,
664,carolina friends school,341047,,,
665,san diego jewish academy,052946,,,
666,logos public charter school,380653,Logos Public Charter School,410804001796,100.0
667,new visions charter ams,330476,NEW VISIONS CHARTER HS-ADV MATH/SCIE,360104706254,78.0
668,facing history school,333627,FACING HISTORY SCHOOL (THE),360007705769,88.0
669,spencerville adventist academy,210922,,,
670,jackson liberty high school,310587,Jackson Liberty High School,340774000787,100.0
671,chaparral high school,320128,,,
672,scottsdale prepatory academy,030661,,,
673,boulder creek high school,030581,Boulder Creek High School,040775002433,100.0
674,westminster christian academy,263121,,,
675,avon old farms school,070010,,,
676,harvest collegiate high school,333695,HARVEST COLLEGIATE HIGH SCHOOL,360007706361,100.0
677,high tech high international,053945,High Tech High International,060189111138,100.0
678,john f kennedy cath high sch,481116,,,
679,univ of nc sch of arts hs,344438,,,
680,north fork vision home/com prg,061147,,,
681,carlbrook school,472108,,,
682,notre dame high school boys,141063,,,
683,business careers high school,446119,,,
684,lincoln school 565-20,834250,,,
685,metro christian academy,373626,,,
686,summit view school,053697,,,
687,canyon lake high school,442404,CANYON LAKE H S,481473010533,79.0
688,indiana university high school,150219,,,
689,aurora west coll prep academy,060048,AURORA WEST COLLEGE PREPARATORY ACADEMY,080234000082,85.0
690,arkansas baptist high school,041414,,,
691,emerson preparatory school,090065,,,
692,david thibodaux stem magnet ac,191048,David Thibodaux STEM Magnet Academy,220087002301,92.0
693,moravian academy,390335,,,
694,headwaters school,440354,,,
695,clear falls high school,444080,CLEAR FALLS H S,481428012296,79.0
696,st peter-marian jr-sr ctl cath,222525,,,
697,elyria catholic high school,362075,Elyria High School,390439400893,80.0
698,briarwood christian hs,010332,,,
699,st matthias high school,051232,,,
700,american military academy,542110,,,
701,south plaquemines high school,192448,South Plaquemines High School,220123002028,100.0
702,canyon ridge high school,130636,CANYON RIDGE HIGH SCHOOL,160324000998,100.0
703,new america school lakewood,060903,NEW AMERICA SCHOOL,080480002014,80.0
704,andy dekaney high school,443599,ANDY DEKANEY H S,484122010786,80.0
705,catalyst high school,060866,CENTAURUS HIGH SCHOOL,080249000107,78.0
706,lee virtual instructional prog,102337,,,
707,arbor view high school,290204,Arbor View High School,320006000661,100.0
708,sonoma academy,053626,,,
709,stansbury high school,450431,Stansbury Park School,490105000697,81.0
710,kamehameha schools hi campus,120169,,,
711,falcon virtual academy,060373,,,
712,staten island academy,335400,,,
713,aviation high school,481071,,,
714,santa clarita valley charter,050514,Santa Clarita Valley International,060213712191,77.0
715,nevada state high school,290067,,,
716,barnegat high school,310062,Barnegat High School,341647000557,100.0
717,dr justin wakeland hs,442602,,,
718,phoenix collegiate academy,030748,Phoenix Collegiate Academy High School,040094603375,81.0
719,international sch of monagas,950824,,,
720,colegio san ignacio de loyola,544400,,,
721,porter high school,445644,PORTER H S,483240011842,71.0
722,saint joseph academy,101480,,,
723,george washington univ online,471066,,,
724,seoul american high school dod,562040,,,
725,special music school hs,331199,SPECIAL MUSIC SCHOOL,360007806115,93.0
726,new west charter school,054663,New West Charter,060184411208,82.0
727,professional childrens school,333890,,,
728,high tech high los angeles,051526,,,
729,capital christian high school,052708,,,
730,paul j hagerty high school,101981,HAGERTY HIGH SCHOOL,120171005736,84.0
731,lasalle high school,361021,,,
732,san pedro valley academy,030599,,,
733,academia santo tomas de aquino,540798,,,
734,provost academy,410551,,,
735,keystone school,446158,,,
736,oregon connections academy,381069,,,
737,california virtual academy-san,054221,California Virtual Academy San Mateo,060180211787,88.0
738,riverbend high school,470887,RIVERBEND HIGH,510364002462,80.0
739,forrest bird charter school,130596,FORREST M BIRD CHARTER SCHOOL,160016500772,96.0
740,academy of our lady of guam,525040,,,
741,lanier high school,112859,Lanier High School,130255003998,100.0
742,northwest academy,130026,,,
743,germantown high school,251749,GERMANTOWN HIGH SCHOOL,280279001381,100.0
744,pacifica christian hs orange,054827,,,
745,liberty high school,030208,Liberty High School,040625002586,100.0
746,grace christian school,020182,,,
747,alsion montessori middle/high,053989,,,
748,deerfield academy,220685,,,
749,st mary's hall/doane academy,310165,,,
750,fryeburg academy,200390,,,
751,cedar creek high school,441168,CEDAR CREEK H S,480957012272,79.0
752,lincoln-way north high school,141949,Lincoln-Way East High School,172307002544,88.0
753,gadsden city high school,011192,Gadsden City High School,010162001824,100.0
754,lakenheath american high sch,575020,,,
755,noel community arts hs,061044,NOEL COMMUNITY ARTS SCHOOL,080336006520,88.0
756,oklahoma bible academy,372365,,,
757,edcsd on-line education,996115,,,
758,international sch prt of spain,886253,,,
759,clackamas middle college,380786,,,
760,harmony school,150209,,,
761,george m steinbrenner high sch,102192,STEINBRENNER HIGH SCHOOL,120087006917,78.0
762,hilliard bradley high school,365198,Hilliard Bradley High School,390470105403,100.0
763,tierra adentro of new mexico,320113,,,
764,grand rapids christian hs,231695,,,
765,holy cross high school,331927,,,
766,sanford school,080070,,,
767,stuttgart high school dod,576325,,,
768,saint pauls school for boys,210295,,,
769,ramstein american hs dod,576340,,,
770,herriman high school,450126,Herriman School,490042000657,86.0
771,doctors charter school,102022,DOCTORS CHARTER SCHOOL OF MIAMI SHORES,120039003164,73.0
772,saint marys high school,333015,,,
773,advanced math-science acad hs,221349,Advanced Math and Science Academy Charter School,250008501984,73.0
774,viera high school,102070,VIERA HIGH SCHOOL,120015004244,100.0
775,greenwich high school sheldon,070244,Greenwich High School,090171000300,84.0
776,harding fine arts academy,372650,HARDING FINE ARTS ACADEMY,400077302385,100.0
777,islands high school,112690,Islands High School,130102003978,100.0
778,werace adult diploma,070646,,,
779,new america school-aurora,060481,NEW AMERICA SCHOOL - LOWRY,080002001882,82.0
780,lycee francais de chicago,140996,,,
781,river oaks academy,054467,River Oaks Academy,060190812801,100.0
782,oxford academy,070912,,,
783,gibault high school,144295,Waterloo High School,174107004113,72.0
784,middlesex school,220650,,,
785,khalil gibran international sc,331117,KHALIL GIBRAN INTERNATIONAL ACADEMY,360009205930,89.0
786,soulsville charter school,431522,Soulsville Charter School,470014802088,100.0
787,metro nashville virtual school,431673,,,
788,explore academy charter school,320143,,,
789,sacred heart jr-sr high school,172675,,,
790,clovis north high school,050628,Clovis North High,060903011855,83.0
791,aspira early college hs,140624,ASPIRA Charter - Early College Pr,170993006473,75.0
792,success academy,450052,,,
793,oconnell high school,442705,,,
794,nation ford high school,410796,Nation Ford High,450390001103,82.0
795,harmony school of advancement,443598,HARMONY SCHOOL OF ADVANCEMENT-HOUSTON,480027412494,88.0
796,cedar ridge high school,446027,CEDAR RIDGE H S,483808011097,79.0
797,pre-engineering academy,310351,,,
798,eleanor roosevelt hs,054078,Eleanor Roosevelt High,060985011709,90.0
799,kwajalein jr-sr high school,570020,,,
800,victory prep academy,060337,,,
801,vermont international academy,460087,,,
802,lones star high school,442638,,,
803,tacoma science and math inst,481391,Science and Math Institute,530870003286,78.0
804,fusion academy - warner center,054599,,,
805,king school,070720,,,
806,waukesha engineering prep acad,500331,Waukesha Engineering Preparatory Academy,551578002688,86.0
807,poetry community christian sch,445580,,,
808,highline big picture hs,480134,,,
809,el dorado high school,442195,EL DORADO H S,484071009547,76.0
810,ef international academy,334864,,,
811,notre dame preparatory,233040,,,
812,mission hills high school,053868,Mission Hills High,063488011404,84.0
813,premier hs-new braunfels,445063,PREMIER H S OF NEW BRAUNFELS,480020712268,88.0
814,high tech high media arts,054054,High Tech High Media Arts,060151511386,100.0
815,malden catholic high school,221290,,,
816,law and public safety academy,310353,,,
817,carrollton christian academy,441137,,,
818,kimball union academy,300400,,,
819,tesseract school,030700,,,
820,notre dame high school,541040,,,
821,concord academy,220640,,,
822,international school of sosua,842310,,,
823,walden sch of liberal arts,450322,Walden School of Liberal Arts,490006100991,95.0
824,lovejoy high school,444368,LOVEJOY H S,482838010525,73.0
825,saint francis high school,181604,,,
826,oswego east high school,143331,Oswego East High School,173027005337,100.0
827,fusion academy - new york,333777,,,
828,back of the yards col prep,140940,Back of The Yards IB HS,170993006282,78.0
829,bentonville west high school,040004,BENTONVILLE WEST HIGH SCHOOL,050306001618,100.0
830,de la salle institute,140765,,,
831,richard t crane med prep mag,141094,,,
832,gwinnett sch of math sci tech,111140,,,
833,isidore newman school,192045,,,
834,dominican academy,333595,,,
835,energy institute high school,443760,,,
836,berean christian school,050589,,,
837,cec middle college of denver,,,,
838,island school,120192,,,
839,ursuline high school,053335,,,
840,travis early college high sch,444799,TRAVIS EARLY COLLEGE H S,483873011436,91.0
841,ross school,,SPRINGS SCHOOL,362790003787,72.0
842,ogden international sc chicago,140748,,,
843,urban assemby ny harbor schl,,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,360007705560,86.0
844,missouri academy sci math comp,262147,,,
845,muriel williams battle high,260733,MURIEL W. BATTLE HIGH SCHOOL,290100003239,73.0
846,new foundations charter sch,392803,New Foundations CS,420007500531,80.0
847,lancaster christian academy,432139,,,
848,richard spoto high school,102059,SPOTO HIGH SCHOOL,120087004169,81.0
849,commonwealth parkville school,544800,,,
850,mile high academy,060426,,,
851,goal academy,060226,,,
852,dunham school,190244,,,
853,leonardo da vinci hs,051082,,,
854,saint marys school,164165,,,
855,thornton donovan school,333380,,,
856,saint francis preparatory sch,330835,,,
857,rockwall-heath high school,443191,ROCKWALL-HEATH H S,483765011000,82.0
858,caprock academy,060682,,,
859,central magent school,431609,Central Magnet School,470369002247,95.0
860,high tech early college,060372,HIGH TECH EARLY COLLEGE,080336006527,100.0
861,seven hills upper school,361005,,,
862,citrus vally high school,054331,Citrus Valley High,063207012254,81.0
863,veritas academy,,,,
864,nevada virtual academy,290243,,,
865,desert oasis high school,290219,Desert Oasis High School,320006000754,100.0
866,university liggett school,231820,,,
867,idea college prep-frontier,440906,,,
868,brookwood school,112970,,,
869,ursuline academy,261795,,,
870,hudson high sch learning tech,334116,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,360007706193,81.0
871,chaminade high school,333150,,,
872,montclair college prep school,053488,,,
873,patch american high school dod,576325,,,
874,woodward school for girls,221810,,,
875,indian rocks christian school,100941,,,
876,james enochs high school,054043,James C. Enochs High,062515011812,77.0
877,little rock christian academy,041453,,,
878,macduffie school,222045,,,
879,woodstock north high school,144479,Woodstock North High School,174333006032,100.0
880,universal high school,,NIWOT HIGH SCHOOL,080537000918,74.0
881,early college high school,050404,Early College High,062724011702,84.0
882,hockaday school,441750,,,
883,saint stanislaus college prep,250150,,,
884,chatfield school,060924,,,
885,besant hill school,052255,,,
886,vermont acad science and tech,460346,,,
887,health sci and human svcs hs,481149,,,
888,all saints cathedral school,550040,,,
889,saint georges high school,430413,,,
890,bishop feehan high school,220077,,,
891,santa cruz alternative,050446,,,
892,olentangy orange high school,365219,Olentangy High School,390467602648,86.0
893,ribet academy,051058,,,
894,baker early college hs,380061,,,
895,gloria deo academy,262834,,,
896,main street school perf arts,241157,,,
897,caravel academy,080002,,,
898,manor new technology hs,444458,MANOR NEW TECHNOLOGY HIGH,482889011568,92.0
899,hillsboro school,010018,,,
900,john h guyer high school,441946,,,
901,saint anthony jr-sr hs,120235,,,
902,ramon c cortines visual per ar,054376,Ramon C. Cortines School of Visual and Performing Arts,062271012439,71.0
903,noble st charter - rauner prep,140709,Noble St Chtr Rauner College Prep,170993006499,79.0
904,american school foundation,870760,,,
905,midwest academy,162273,,,
906,archbishop spalding hs,210583,,,
907,loveland classical school,060966,LOVELAND CLASSICAL SCHOOL,080540006534,100.0
908,hs math sci eng at city coll,333691,,,
909,tinicum art and science,393130,,,
910,camelot academy,341045,,,
911,john f kennedy high school,525160,JOHN F. KENNEDY HIGH SCHOOL,660000200076,98.0
912,grand prairie fine arts acad,442955,GRAND PRAIRIE FINE ARTS ACADEMY,482142012982,95.0
913,corner canyon high school,450073,Corner Canyon High,490014201428,84.0
914,liberty high school,261848,LIBERTY HIGH SCHOOL,293165003227,100.0
915,grace preparatory academy,060488,,,
916,caribbean preparatory school,,,,
917,david posnack hebrew day sch,101532,,,
918,academia maria reina,544298,,,
919,james clemens high school,011701,James Clemens High School,010000802198,100.0
920,reynoldsburg estem academy,365841,,,
921,northcoast prep & perf arts a,053609,Northcoast Preparatory and Performing Arts Academy,060194211934,71.0
922,strawberry crest high school,102193,STRAWBERRY CREST HIGH SCHOOL,120087007001,100.0
923,daniel pearl magnet high sch,054368,,,
924,harmony schl of political sci,445129,,,
925,franklin academy,070166,,,
926,christopher dock mennonite h s,392149,,,
927,basis prescott,030762,BASIS Prescott,040090303418,100.0
928,urban asy ins math-sci y women,330984,,,
929,academic institute inc,480066,,,
930,voyages preparatory high sch,331817,VOYAGES PREPARATORY,360009806066,81.0
931,oak hills high,054316,Oak Hills High,060001412417,100.0
932,horizon high school,230526,Horizon High School,261752007965,100.0
933,national sports acad lk placid,332761,,,
934,humanitas ac art tech-torres,054451,,,
935,school for young performers,334042,,,
936,cambrian international academy,054297,,,
937,pacific coast high school,053571,,,
938,environmental charter hs,051472,Environmental Charter High,060207608718,92.0
939,baker web academy,380055,Baker Web Academy,410171001767,100.0
940,basis scottsdale charter,030660,BASIS Scottsdale,040060803115,80.0
941,perspectives leadership acad,140708,Perspectives Chtr - Leadership Ac,170993006437,85.0
942,oak hall school,100553,,,
943,lycee francais la perouse,052971,,,
944,rancho solano prep school,030658,,,
945,university high school,102296,UNIVERSITY HIGH SCHOOL,120192007281,100.0
946,martin luther lutheran hs,336027,,,
947,pope john xxiii regional hs,311407,,,
948,south carolina connections aca,410524,,,
949,north forney high school,442593,NORTH FORNEY H S,481956010867,80.0
950,yes prep north forest,443639,YES PREP NORTH FOREST,480020912959,100.0
951,muse middle and high school,054825,,,
952,lutheran high sch san diego,051339,,,
953,cincinnati country day school,360955,,,
954,bard early college high school,210002,,,
955,fusion academy fairfield,,,,
956,comenius school,,,,
957,basis flagstaff,030728,BASIS Flagstaff,040083103196,100.0
958,salt lake gateway academy,450238,,,
959,joy christian school,030134,,,
960,yeshiva atlanta,110264,,,
961,clear horizons early college,443209,CLEAR HORIZONS EARLY COLLEGE H S,481428011416,93.0
962,spring creek academy,445577,,,
963,yes prep public schs-n central,443588,,,
964,pioneer high school,444842,,,
965,reedy high school,442627,,,
966,baltimore lutheran school,210036,,,
967,saint marys springs hs,500675,,,
968,raymond s kellis high school,030034,Raymond S. Kellis,040625002426,71.0
969,ceiba college preparatory acad,054597,Ceiba College Preparatory Academy,060242812189,95.0
970,magnolia science academy 4,054468,Magnolia Science Academy 4,060167812360,100.0
971,villa madonna academy,180585,,,
972,ged,,,,
973,gila ridge high school,034549,Gila Ridge High School,040963002775,100.0
974,south valley academy,320062,SOUTH VALLEY ACADEMY,350006000809,100.0
975,halstrom hs-mission viejo,051966,,,
976,american school of brasilia,910042,,,
977,cooperative high school,070261,,,
978,lyons township hs south campus,144370,,,
979,stewarts creek high school,432132,,,
980,indiana connections academy,151684,Indiana Connections Academy,180009802474,100.0
981,mother of divine grace school,052338,,,
982,south lands chrtn high school,053681,,,
983,front range baptist academy,060589,,,
984,walnut grove high school,111867,Walnut Grove High School,130539003901,100.0
985,jim elliot schools,060369,,,
986,proviso math and science acad,141939,Proviso Math and Science Academy,173291005781,95.0
987,central high school,442583,,,
988,robert lindblom math-sci acad,141122,,,
989,nikola tesal stem high school,480976,Tesla STEM High School,530423003432,82.0
990,big valley christian hs,052021,,,
991,garrison forest school,210580,,,
992,liberty north high school,261967,LIBERTY NORTH HIGH SCHOOL,291854003148,100.0
993,opportunities for learn/sjc,051517,,,
994,florida air academy,101020,,,
995,community christian school,222329,,,
996,navajo preparatory school inc,320255,Navajo Preparatory School,590011600144,93.0
997,american academy,542197,,,
998,dana hall school,222275,,,
999,saint francis high school,112629,,,
1000,biotechnology research,070074,,,
1001,james valley christian school,420657,,,
1002,university detroit jesuit hs,231225,,,
1003,volcano vista high school,320122,VOLCANO VISTA HIGH,350006000966,84.0
1004,beaumont school for girls,361440,,,
1005,westminster christian academy,011492,,,
1006,tca college pathways,,TCA COLLEGE PATHWAYS,080192006447,100.0
1007,langston hs cont ed program,470126,,,
1008,campo verde high school,030696,Campo Verde High School,040340002965,100.0
1009,kipp houston high school,443305,KIPP HOUSTON H S,480026412145,80.0
1010,tashkent intl school,788186,,,
1011,nyc ischool,333877,NYC ISCHOOL,360007706065,100.0
1012,west early college hs,060514,WEST EARLY COLLEGE,080336006551,92.0
1013,morton ranch high school,443739,MORTON RANCH H S,482517010759,80.0
1014,andrada polytechnic high schoo,030741,Andrada Polytechnic High School,040885003272,98.0
1015,university preparatory school,053912,University Preparatory,060175911467,86.0
1016,belvidere north high school,140279,Belvidere North High Sch,170579005909,94.0
1017,l & n stem academy,431118,L N STEM Academy,470222002269,94.0
1018,plano ids academy high school,445582,PLANO ISD ACADEMY H S,483510012675,80.0
1019,everett high school,220760,Everett High,250477000634,77.0
1020,la europa academy,450222,,,
1021,mountain springs prep academy,,,,
1022,matthew c perry hs dod,561580,,,
1023,southwest early coll campus,261627,,,
1024,eastlake high school,442277,EASTLAKE H S,484071011391,75.0
1025,mount carmel academy,443608,MOUNT CARMEL ACADEMY,482364012203,100.0
1026,international leadership texas,440222,,,
1027,bard hs-early college queens,331811,BARD HIGH SCHOOL EARLY COLLEGE QUEENS,360009806004,83.0
1028,bishop le blond high school,262905,,,
1029,northwest career and tech acad,290225,Northwest Career and Technical Academy,320006000755,88.0
1030,miguel contreras lrng complex,054053,,,
1031,rehoboth christian school,320530,,,
1032,shanley high school,350575,,,
1033,abilene christian schools,440008,,,
1034,williams preparatory high sch,441856,UPLIFT WILLIAMS PREPARATORY H S,480003012012,80.0
1035,villa maria academy,391320,,,
1036,harmony science academy,442192,HARMONY SCIENCE ACAD (EL PASO),480027211213,79.0
1037,sarah goode stem academy,140636,Goode STEM Academy HS,170993006223,80.0
1038,bishop chatard high school,151654,,,
1039,santa fe catholic regional hs,100897,,,
1040,american school-headmaster,935050,,,
1041,kent place school,311425,,,
1042,texas technical univeristy hs,444357,,,
1043,our lady of mercy catholic hs,111269,,,
1044,rocky mountian high school,130399,,,
1045,koschool,,,,
1046,st john paul ii high school,221089,,,
1047,hope co-op online learning acd,060961,,,
1048,sacred hearts academy hs,120095,,,
1049,zama american high school dod,561980,,,
1050,woodstock day school,336023,,,
1051,ombudsman educational services,142622,,,
1052,gilroy early college academy,051228,Dr. TJ Owens Gilroy Early College Academy,061518012174,81.0
1053,pa leadership charter school,391441,,,
1054,doane stuart school,330030,,,
1055,montgomery academy,011897,,,
1056,randall k cooper high school,182561,Randall K. Cooper High School,210051002206,98.0
1057,new orleans military/maritime,192136,New Orleans Military & Maritime Academy,220016002327,82.0
1058,huntingtown high school,210651,Huntingtown High School,240015001342,100.0
1059,warhill high school,472417,WARHILL HIGH,510402002658,77.0
1060,lyceum kennedy,333762,,,
1061,lutheran high school,,,,
1062,inderkum high school,053028,Inderkum High,060003611084,79.0
1063,commonwealth connections acad,396082,,,
1064,browning school,333490,,,
1065,ankeny centennial high school,160162,Ankeny Centennial High School,190369002187,100.0
1066,community school,471948,,,
1067,don bosco high school,161748,,,
1068,faith baptist high school,060933,,,
1069,ronald n davies high school,350569,FARGO DAVIES HIGH SCHOOL,380678000855,82.0
1070,providence christian academy,111832,,,
1071,lyman ward military academy,010583,,,
1072,drw trading college prep,141104,,,
1073,saint anselms abbey school,090155,,,
1074,academy  of arts careers tech,290247,Academy of Art  Careers and Technology,320048000664,81.0
1075,sigonella middle high sch dod,577100,,,
1076,staley high school,261658,STALEY HIGH,292280003083,76.0
1077,baldwin school of puerto rico,540792,,,
1078,junipero serra high school,051025,,,
1079,haas hall academy,042762,HAAS HALL ACADEMY,050007801078,100.0
1080,frank mccourt high school,334032,FRANK MCCOURT HIGH SCHOOL,360007806185,100.0
1081,west leadership academy,060553,WEST LEADERSHIP ACADEMY,080336006547,100.0
1082,burlington county inst of tech,310157,Burlington County Institute of Technology - Westampton,340249000996,71.0
1083,washington tech magnet school,242224,WASHINGTON TECH SECONDARY MAGNET,273384004429,72.0
1084,calvary chapel high school,053251,,,
1085,hillgrove high school,112431,Hillgrove High School,130129003649,100.0
1086,ridgeview academy,,,,
1087,moore catholic high school,335343,,,
1088,apex friendship high school,340088,Apex Friendship High,370472003351,85.0
1089,west michigan acad env science,231701,,,
1090,bayshore prep,053977,,,
1091,christian brothers academy,335465,,,
1092,notre dame school,333870,,,
1093,dps online high school,,,,
1094,bishop mcdevitt high school,391640,,,
1095,poston butte high school,030690,,,
1096,kipp academy charter school,443751,,,
1097,lincoln high school,054120,Lincoln High,063432011939,77.0
1098,stuttgart american high school,576260,,,
1099,carol morgan school the,842200,,,
1100,harmony school of sci- houston,446789,,,
1101,all saints episcopal school,444337,,,
1102,gce chicago high school,140960,Ogden Int High School,170993006093,73.0
1103,cairo american college dod,648300,,,
1104,academy at swift river,220657,,,
1105,first presbyterian school,050132,,,
1106,international school islamabad,690130,,,
1107,pope john xxiii regl high sch,311407,,,
1108,sparhawk school,220014,,,
1109,british school of chicago,140666,,,
1110,nexus acad of royal oak,230320,,,
1111,maria high school,141015,Hubbard High School,170993000889,78.0
1112,miami arts charter school,102231,,,
1113,halstrom academy-mission viejo,051966,,,
1114,front range academy,060129,,,
1115,lourdes college preparatory hs,030236,,,
1116,marin school of arts & tech,053947,,,
1117,escuela sec san german interam,544995,,,
1118,durango big picture high schoo,060507,DURANGO BIG PICTURE HIGH SCHOOL,080348006597,98.0
1119,school for advanced studies,102147,SCHOOL FOR ADVANCED STUDIES HOMESTEAD,120039007358,84.0
1120,avenues new york,333776,,,
1121,science leadership academy,393238,Science Leadership Academy,421899000923,100.0
1122,dayspring christian academy,392107,,,
1123,christa mcauliffe acad sch art,380581,,,
1124,university high school,030746,University High School,040852003206,100.0
1125,del sol high school,290198,,,
1126,edcsd on-line education,996115,,,
1127,north valley sch young adults,061362,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,080555006433,89.0
1128,saint laurence high school,143237,,,
1129,east view high school,442776,EAST VIEW H S,482060008083,76.0
1130,lighthouse college prep acad,151753,,,
1131,union county acad info tech,311381,Union County Tech,341804005738,77.0
1132,springfield renaissance school,222029,,,
1133,york preparatory academy,411696,York Preparatory Academy,450390101544,100.0
1134,innercept academy,130122,,,
1135,ramstein american hs dodd,576340,,,
1136,all saints academy,101892,,,
1137,trinity academy,173182,,,
1138,founders classical academy,444162,FOUNDERS CLASSICAL ACADEMY,480016312670,100.0
1139,liceo aguadillano,540260,,,
1140,horizons exploratory academy,061248,HORIZONS EXPLORATORY ACADEMY,080633006413,100.0
1141,chicago high school for arts,140822,Chicago HS for the Arts,170993006058,75.0
1142,governor school science & math,410997,SC Governors School for Science and Mathematics,450390701579,75.0
1143,chicago bulls college prep,140693,,,
1144,design tech high school,054814,,,
1145,high school environmental stud,,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,360007700116,90.0
1146,los angeles hebrew hs,,,,
1147,cypress lakes high school,443747,CYPRESS LAKES H S,481611011254,81.0
1148,wellspring preparatory hs,232203,Wellspring Preparatory High School,260098108149,85.0
1149,westside christian high school,380936,,,
1150,capistrano connections academy,054092,,,
1151,academy online high school,060243,,,
1152,rochester early coll intrl hs,334786,ROCHESTER EARLY COLLEGE INTERNATIONAL HIGH SCHOOL,362475006177,74.0
1153,bronx studio writers & artist,331077,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,360008505652,78.0
1154,wilostar3d academy,102458,,,
1155,putney school,460340,Putney Central School,500669000249,76.0
1156,hector godinez fundamental hs,054150,,,
1157,lakeshore high school,191657,,,
